Machine_ID,Category,Brand,Model,Year,Power_HP,Working_Hours,Price_EUR,Condition,Fuel_Type,Transmission,Location_Netherlands,Status
NL-001,Tractor,New Holland,T5.120,2025,263,1701,186731,Used - Excellent,Diesel,Hydrostatic,Assen,Available Soon
NL-002,Mower,Krone,EasyCut B 950,2020,247,61,127630,New,Diesel,CVT,Zwolle,In Stock
NL-003,Baler,Krone,Fortima F1250,2024,82,5168,114807,Used - Excellent,Diesel,Hydrostatic,Zwolle,Reserved
NL-004,Combine Harvester,John Deere,S770,2018,442,5597,389267,New,Diesel,Manual,Zwolle,Available Soon
NL-005,Tractor,Fendt,724 Vario,2017,395,6063,136002,Used - Good,Diesel,Hydrostatic,Utrecht,In Stock
NL-006,Forage Harvester,Fendt,Katana 850,2024,1049,1927,470690,Demo,Diesel,Hydrostatic,Utrecht,Reserved
NL-007,Forage Harvester,John Deere,9700,2025,1027,435,431233,Used - Excellent,Diesel,PowerShift,Heerenveen,In Stock
NL-008,Cultivator,Kuhn,Cultimer L 300,2026,183,7055,38889,Demo,Diesel,PowerShift,Arnhem,Sold
NL-009,Tractor,New Holland,T5.120,2024,333,4132,231764,Demo,Diesel,Manual,Eindhoven,Available Soon
NL-010,Rake,Krone,Swadro TC 1370,2023,276,3338,117368,Used - Good,Diesel,Manual,Lelystad,In Stock
NL-011,Tractor,Fendt,724 Vario,2025,334,8040,265645,Used - Good,Diesel,PowerShift,Zwolle,Available Soon
NL-012,Baler,Krone,Comprima CF155 XC,2023,210,570,90163,Used - Good,Diesel,Manual,Arnhem,In Stock
NL-013,Baler,Krone,Fortima F1250,2024,211,3019,58925,Demo,Diesel,Hydrostatic,Emmeloord,Reserved
NL-014,Baler,New Holland,Roll Baler 125,2020,174,6758,37669,Used - Excellent,Diesel,Hydrostatic,Wageningen,In Stock
NL-015,Tractor,New Holland,T7.270,2026,100,1380,173287,Used - Excellent,Diesel,PowerShift,Emmeloord,In Stock
NL-016,Mower,Krone,EasyCut B 950,2022,189,2555,82395,New,Diesel,Manual,Breda,Available Soon
NL-017,Plough,Lemken,Diamant 16,2025,234,3672,47353,Demo,Diesel,PowerShift,Tilburg,Reserved
NL-018,Tractor,New Holland,T7.270,2019,313,2237,230257,Used - Good,Diesel,Hydrostatic,Utrecht,Sold
NL-019,Sprayer,Amazone,UX 4200,2017,200,1758,168567,Demo,Diesel,CVT,Heerenveen,Reserved
NL-020,Seeder,Amazone,Cirrus 6003,2017,190,439,152492,Demo,Diesel,Manual,Breda,Reserved
NL-021,Baler,Krone,Fortima F1250,2024,163,7664,40908,Used - Excellent,Diesel,PowerShift,Tilburg,Sold
NL-022,Forage Harvester,John Deere,9500,2024,1088,3842,356380,New,Diesel,Hydrostatic,Lelystad,Sold
NL-023,Seeder,Amazone,Cirrus 6003,2025,144,809,35929,Demo,Diesel,PowerShift,Arnhem,In Stock
NL-024,Tractor,Fendt,516 Vario,2025,371,2276,112337,Used - Excellent,Diesel,PowerShift,Utrecht,Reserved
NL-025,Forage Harvester,John Deere,9500,2018,995,6298,397100,Used - Good,Diesel,PowerShift,Apeldoorn,Sold
NL-026,Tractor,Case IH,Maxxum 125,2023,337,4733,185443,Demo,Diesel,PowerShift,Apeldoorn,Available Soon
